Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Explanation,Author
"Dijkstra algorithm is a example of which of the following type of algorithm
","dynamic programming
","backtracking
","divide and conquer
","greedy
","brute force
","The answer is D because greedy algorithms make the optimal choices at each step in other to find the overall optimal way of solving the problem
",
"Which rotation operations would need to be performed to balance this AVL Tree? F / \ A M / \ H X / \ G J
","Left Left
","Left Right
","Right Right
","Right Left
",,"See week8b lectures 2019.A right rotation about M then a left rotation about F will result in a balanced tree.
",
"You have just finished your A-levels and are on a gap yaaa in Switzerland skiing,You have a map that showsyou the ski lifts to travel between slopes, seen aboveIn some cases, using multiple ski lifts is quicker than using the direct line.Using Dijkstras algorithm, calculate the length of the shortest route to each slope from the base camp.
","A=5B=21C=15D=7E=45
","A=5B=10C=15D=7E=13
","A=21B=6C=12D=19E=10
","A=5B=27C=15D=7E=13
",,"The quickest routes are as followsA = Direct from base campB = Base camp -> A -> BC = Direct from base campD = Direct from base campE = A->B->E
",
"Pre-Order traversal on the following tree will give which output? 9 / \ 6 15 / \ \ 1 8 21 / \ 7 25
","9, 7, 6, 1, 8, 21, 25, 15
","9, 6, 1, 8, 7, 15, 21, 25
","1, 6, 7, 8, 9, 15, 21 ,25
","1, 7, 8, 6, 25, 21, 15, 9
","9, 6, 1, 8, 7, 25, 21, 15
","See the lecture slides from week 7b pre-order traversal. This take the element from the left as you traverse the tree which gives option B
",
"Which one of the following options is an advantage of using an AVL Tree rather than a Binary Search Tree?
","It is always faster for insertion than a regular binary search tree
","It has a better worst-case complexity for search than a regular binary search tree
","You can remove from an AVL tree but not from a binary search tree
","Pre-order traversal is possible with an AVL tree, but not with a binary search tree
",,"A) It is not always faster for insertion, and in fact is often slower because of the rebalancing performed after the initial insertion.B) The correct answer: balancing gives it O(log n) worst case as opposed to a binary tree's O(n) worst complexity.C) You can remove from both tree types with the correct algorithm.D) Pre-order traversal is possible with any type of tree data structure, not just AVL trees.
",
"The greater the load factor of a hash table, the lower the number of steps required to search the table for a value.
","True
","False
","planation: Load factor is the proportion of buckets that are occupied: load factor = number of values stored / hash table capacity. Thus a low load factor (close to 0) means that many buckets in the table are empty, and a high load factor (close to 1) means that many buckets in the table are occupied.As a result, it requires fewer steps on average to search for a value in a hash table with alow load factor as the array contains lots of empty space that will never need to be searched.See Week10b slides 31-32 on hash table efficiency.
","gs: Hashtables
",,,"tb799 (tb799)
"
"Which of the following data structures has the slowest average time complexity for inserting an item?
","Array
","Stack
","Skip List
","Queue
","Hash Table
","A Skip List has an average time complexity ofT(log(n) for insertion making it the slowest compared toT(n) for an Array andT(1) for the Hash Table, Stack and Queue.
",
"What is the average and worst case search time for a given element in a skip list?
","Worst Case: O(n)Average Case: O(n(log n))
","Worst Case: O(1)Average Case: O(log n)
","Worst Case: O(n)Average Case: O(n^2)
","Worst Case: O(n)Average Case: O(log n)
","Worst Case: O(log n)Average Case: O(n)
","See skip list run time slide in lecture 3b.Land log(n) -1 skips approximatly n/2 nodes for average case of O(log n)and for worst case the skip list is unable to skip any elements meaning it is a linear search og O(n)
",
"I am using the hash function H(x) = x % 7 to add functions to an open hash table. This hash table itself is indexed 0 to 6 and stores pointers to the head elements of singly linked lists which store the values added to the hash table.After the following elements are inserted (in the order they are written), how many values are stored in the linked lists that are pointed to by index 0 and index 6 respectively? (Please note that the head pointer does NOT count as a value stored)Values to add to the hash table: 49, 22, 36, 135, 48, 73, 209, 105, 1042, 591, 5, 256.
","3 and 1 respectively
","0 and 3 respectively
","1 and 1 respectively
","2 and 3 respectively
","5 and 3 respectively
","49 % 7 = 022 % 7 = 136 % 7 = 1135 % 7 = 248 % 7 = 673 % 7 = 3209 % 7 = 6105 % 7 = 01042 % 7 = 6591 % 7 = 35 % 7 = 5256 % 7 = 4Hence 2 items are stored at index 0 and 3 items are stored at index 6
",
"Take the following pseudocode for sorting books by height on a shelf:void sort(shelf of N books){ for i = 1 to N { find the smallest book between slots i and N swap this smallest book with book i; }}Which type of sort has occurred?
","Insertion sort
","Merge sort
","Bubble sort
","Selection sort
","Quicksort
","This is a selection sort algorithm which repeatedly finds the smallest book and puts it at the start of the shelf.
",
"If the balance factor of a tree node equals to 2, when rebalancing an AVL tree, which of the following pseudo-code holds true?
","rightRotate(node)
","leftRotate(node)
","node.left = leftRotate(node.left)rightRotate(node)
","node.right = rightRotate(node.right)leftRotate(node)
",,"SeeGeeks for Geeks - Tree Insertion
",
"The load factor for a hash table is:
","The capacity divided by the number of collisions
","The number of collisions divided by the capacity
","The capacity divided by the number of occupied locations
","The number of occupied locations divided by the capacity
","None of the above
","The load factor is defined as:load factor = n/k,where n is the number of locations occupied in the hash table and k is the number of bucketsThe load factor should be less than 1
",
"Which two sorting algorithms have a best (O), average (?), and worst-case (O) time complexity of n(log(n))?
","Heap Sort & Bubble Sort
","Merge Sort & Quick Sort
","Merge Sort & Heap Sort
","Quick Sort & Merge Sort
","Merge Sort & Bubble Sort
","Bubble Sort has a best-case time complexity ofO(n), an average-case of?(n^2) and a worst-case ofO(n^2) so it cannot be A or E.Quick Sort has a worst-case time complexity ofO(n^2) so it cannot be B or D.This leaves C with Merge and Heap Sort which do have a time complexity of n(log(n)) for each of best, average and worst cases.Full table of time complexities can be found in the slides of lecture week7A 2019.
",
"You have been hired by a surgery to create a system that can hold patient records. The surgery is extremely busy, so retrieving records must be as fast as possible. The surgery has stated that the previous system allowed them to sort records, but this feature was no longer required. As many patients join and leave, insertion and deletion must both be very fast.
","Hash Table (Open Hashing)
","Binary Search Tree
","Hash Table (Closed Hashing)
","AVL Tree
","Doubly Linked List
","Evidently, due to the need for extremely fast lookup times, a hash table is required with its O(1) complexity. This works well as the data will not need to be sorted. The open hashing table should be chosen, as deletion is much easier when compared to the closed hashing table, while still maintaining fast insertion.
",
"Analyse the sorting algorithm belowvoid sort(int arr[]){ int n = arr.length; for (int i = 0; i < n-1; i++) { int min_idx = i; for (int j = i+1; j < n; j++) if (arr[j] < arr[min_idx]) min_idx = j; int temp = arr[min_idx]; arr[min_idx] = arr[i]; arr[i] = temp;}State the name of the algorithm, the worst complexity, average complexity and best complexity
","Bubble sort, n^2, n^2, n^2
","Bubble sort,n^2, n^2, n
","Selection sort, n^2, n^2, n^2
","Merge sort,n*log(n),n*log(n),n*log(n)
","Selection sort, n^2, n^2, n
","C is the right answer because the algorithm is a selection sort and the worst, average and best complexity of selection sort is n^2
",
"Emma likes to organise her book collection alphabetically. When she goes away to Uni, her mother buys a few books for her every month.However, she doesn't stick to Emma's system and just slides the books wherever it's more convenient. She doesn't rearrange the existing books.When Emma comes home on vacation, she wants to sort her books back into alphabetical order.What's the fastest algorithm that Emma could use?
","Heap sort
","Merge sort
","Insertion sort
","Quick sort
","Shell sort
","Insertion sort is fastest for nearly sorted data.Heap sort, merge sort and quick sort don't adapt to nearly sorted data.
",
"A shell sort where h=1 is equivalent to which other sort?
","Merge sort
","Insertion sort
","Selection sort
","Bubble sort
","Heap sort
","Insertion sort is effectively a special case of the shell sort, with h=1
",
"What is the complexity of insertion sort on an already sorted array?
","O(log n)
","O(n)
","O( )
","O(2n)
",,"The algorithm simply traverses the array in one pass and does not need to make any swaps
",
"Which of the following is not a function of a stack?
","push(Object i)
","Object pop()
","removeElement(int index)
","Object peek()
",,"Stacks are a FIFO data structure, meaning only elements on the top of the stack may be removed at any time.
",
"Consider the following binary tree:What would be the outcome of printing each node via in-order traversal?
","D B E G H C F A
","D B G E H A C F
","A B C D E F G H
","D G H E B F C A
","G H D E F B C A
","In-order traversal considers the left node, current node, and right node, in that order, traversing recursively.
",
"Is it possible to search for any word in the english language in constant time complexity ?
","Yes
","No
","planation: This can be done through the use of a TrieAn example of a Trie is bellow:Any word can be found in constant complexity, more specifically in H steps, where H is the length of the longest word/string
","gs: Search, Trees, Complexity
",,,"cm2259 (cm2259)
"
